source_file,source_sheet,source_row_id,field,campaign_raw,campaign_code,campaign_canonical,campaign_scope,campaign_mapping_basis,well_raw,well_canonical,well_base_canonical,well_instance_id,wbs_code_raw,wbs_lvl1,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,wbs_label_raw,cost_actual,currency,event_code_raw,event_code_desc,npt_class,mapping_status_campaign,mapping_status_well,mapping_method,mapping_confidence,source_text_used,tag_well_or_pad,tag_lvl5
20260327_WBS_Data.xlsx,Data.Summary,25637daec875ecab,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203880821-D245401,E540-30-D245401,E540-30203-D245401,E540-3020388-D245401,E540-302038808-D245401,E540-30203880821-D245401,Tie In - Material Non LL Pad AWI21,139326.810000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Material Non LL Pad AWI21 | Tie-in | Tie In - Material Non LL Pad AWI21,Pad,Material - Non LL
20260327_WBS_Data.xlsx,Data.Summary,23becbd551cd7d47,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203880860-D245401,E540-30-D245401,E540-30203-D245401,E540-3020388-D245401,E540-302038808-D245401,E540-30203880860-D245401,Tie In - Material LL Pad AWI21,255919.060000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Material LL Pad AWI21 | Tie-in | Tie In - Material LL Pad AWI21,Pad,Material - LL
20260327_WBS_Data.xlsx,Data.Summary,17a5c7a6215bd9a9,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203880759-D245401,E540-30-D245401,E540-30203-D245401,E540-3020388-D245401,E540-302038807-D245401,E540-30203880759-D245401,Tie In - Eng Pad AWI21,56572.150000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Eng Pad AWI21 | Tie-in | Tie In - Eng Pad AWI21,Pad,Engineering
20260327_WBS_Data.xlsx,Data.Summary,95ad7423a81e6c5d,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203870963-D245401,E540-30-D245401,E540-30203-D245401,E540-3020387-D245401,E540-302038709-D245401,E540-30203870963-D245401,"Tie In - Inst,HookUp&Pre-Comm Pad AWI2",95636.140000,USD,,,,mapped,not_available_at_source_grain,none,low,"Tie In - Inst,HookUp&Pre-Comm Pad AWI2 | Tie-in | Tie In - Inst,HookUp&Pre-Comm Pad AWI2",Pad,"Installation, Hook Up & Pre-Commisioning"
20260327_WBS_Data.xlsx,Data.Summary,eceef48b626badd7,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203870821-D245401,E540-30-D245401,E540-30203-D245401,E540-3020387-D245401,E540-302038708-D245401,E540-30203870821-D245401,Tie In - Material Non LL Pad AWI2,16830.790000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Material Non LL Pad AWI2 | Tie-in | Tie In - Material Non LL Pad AWI2,Pad,Material - Non LL
20260327_WBS_Data.xlsx,Data.Summary,d45f2290158c52cb,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203870860-D245401,E540-30-D245401,E540-30203-D245401,E540-3020387-D245401,E540-302038708-D245401,E540-30203870860-D245401,Tie In - Material LL Pad AWI2,336048.410000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Material LL Pad AWI2 | Tie-in | Tie In - Material LL Pad AWI2,Pad,Material - LL
20260327_WBS_Data.xlsx,Data.Summary,e8eade7a86f25d77,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203870759-D245401,E540-30-D245401,E540-30203-D245401,E540-3020387-D245401,E540-302038707-D245401,E540-30203870759-D245401,Tie In - Eng Pad AWI2,78101.650000,USD,,,,mapped,not_available_at_source_grain,none,low,Tie In - Eng Pad AWI2 | Tie-in | Tie In - Eng Pad AWI2,Pad,Engineering
20260327_WBS_Data.xlsx,Data.Summary,b1620117dd85d7b6,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203840962-D245401,E540-30-D245401,E540-30203-D245401,E540-3020384-D245401,E540-302038409-D245401,E540-30203840962-D245401,Road & Pad Const Pad AWI21,231616.970000,USD,,,,mapped,not_available_at_source_grain,none,low,Road & Pad Const Pad AWI21 | Road and Pad | Road & Pad Const Pad AWI21,Pad,Construction
20260327_WBS_Data.xlsx,Data.Summary,041537d4c9eeb283,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203840759-D245401,E540-30-D245401,E540-30203-D245401,E540-3020384-D245401,E540-302038407-D245401,E540-30203840759-D245401,Road & Pad Eng Pad AWI21,11270.830000,USD,,,,mapped,not_available_at_source_grain,none,low,Road & Pad Eng Pad AWI21 | Road and Pad | Road & Pad Eng Pad AWI21,Pad,Engineering
20260327_WBS_Data.xlsx,Data.Summary,e3d7968923100012,SALAK,SLK 2025,E540-30101-D245401,SALAK_2025_2026,in_scope,campaign_label_alias,,,,,E540-30203830962-D245401,E540-30-D245401,E540-30203-D245401,E540-3020383-D245401,E540-302038309-D245401,E540-30203830962-D245401,Road & Pad Const Pad AWI2,201768.030000,USD,,,,mapped,not_available_at_source_grain,none,low,Road & Pad Const Pad AWI2 | Road and Pad | Road & Pad Const Pad AWI2,Pad,Construction
