field,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,classification,sample_size,cost_total,cost_mean,cost_median,cost_p10,cost_p90,cost_min,cost_max
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030220-D225301,well_tied,1,12880.89,12880.89,12880.89,12880.89,12880.89,12880.89,12880.89
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030224-D225301,well_tied,1,41017.02,41017.02,41017.02,41017.02,41017.02,41017.02,41017.02
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030247-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030294-D225301,well_tied,1,62912.89,62912.89,62912.89,62912.89,62912.89,62912.89,62912.89
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030295-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030296-D225301,well_tied,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030297-D225301,well_tied,1,10851.89,10851.89,10851.89,10851.89,10851.89,10851.89,10851.89
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010302-D225301,E530-30101030298-D225301,well_tied,1,78769.12,78769.12,78769.12,78769.12,78769.12,78769.12,78769.12
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010361-D225301,E530-30101036101-D225301,well_tied,1,419472.97,419472.97,419472.97,419472.97,419472.97,419472.97,419472.97
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010361-D225301,E530-30101036102-D225301,well_tied,1,67957.22,67957.22,67957.22,67957.22,67957.22,67957.22,67957.22
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010361-D225301,E530-30101036118-D225301,well_tied,1,433704.53,433704.53,433704.53,433704.53,433704.53,433704.53,433704.53
DARAJAT,E530-30101-D225301,E530-3010103-D225301,E530-301010361-D225301,E530-30101036193-D225301,well_tied,1,22400.72,22400.72,22400.72,22400.72,22400.72,22400.72,22400.72
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010401-D225301,E530-30101040160-D225301,well_tied,1,26370.44,26370.44,26370.44,26370.44,26370.44,26370.44,26370.44
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040204-D225301,well_tied,1,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0,1311.0
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040205-D225301,well_tied,1,1033044.74,1033044.74,1033044.74,1033044.74,1033044.74,1033044.74,1033044.74
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040207-D225301,well_tied,1,443856.33,443856.33,443856.33,443856.33,443856.33,443856.33,443856.33
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040208-D225301,well_tied,1,231601.0,231601.0,231601.0,231601.0,231601.0,231601.0,231601.0
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040209-D225301,well_tied,1,430103.37,430103.37,430103.37,430103.37,430103.37,430103.37,430103.37
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040210-D225301,well_tied,1,426500.84,426500.84,426500.84,426500.84,426500.84,426500.84,426500.84
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040211-D225301,well_tied,1,66375.81,66375.81,66375.81,66375.81,66375.81,66375.81,66375.81
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040212-D225301,well_tied,1,728386.4,728386.4,728386.4,728386.4,728386.4,728386.4,728386.4
DARAJAT,E530-30101-D225301,E530-3010104-D225301,E530-301010402-D225301,E530-30101040213-D225301,well_tied,1,34905.0,34905.0,34905.0,34905.0,34905.0,34905.0,34905.0
