classification_key,source_row_id,field,campaign_raw,campaign_canonical,campaign_start_year,campaign_code,well_raw,well_canonical,mapping_method,mapping_confidence,mapping_source,l0_id,l0_desc,l1_id,l1_desc,l2_id,l2_desc,l3_id,l3_desc,l4_id,l4_desc,l5_id,l5_desc,wbs_family_tag,family_group_key,classification,driver_family,budget_usd,release_usd,released_usd,committed_usd,actual_usd,source_sheet,source_workbook,source_field_campaign_year
SALAK|E540-30203-D245401|E540-3020388-D245401|E540-302038808-D245401|E540-30203880860-D245401,23becbd551cd7d47,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020388-D245401,E540-3020388-D245401,E540-302038808-D245401,E540-302038808-D245401,E540-30203880860-D245401,Material - LL,Material - LL,material_ll,hybrid,tie_in_flag,0,0,0,0,255919.060000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020388-D245401|E540-302038807-D245401|E540-30203880759-D245401,17a5c7a6215bd9a9,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020388-D245401,E540-3020388-D245401,E540-302038807-D245401,E540-302038807-D245401,E540-30203880759-D245401,Engineering,Engineering,engineering,hybrid,tie_in_flag,0,0,0,0,56572.150000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020387-D245401|E540-302038709-D245401|E540-30203870963-D245401,95ad7423a81e6c5d,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020387-D245401,E540-3020387-D245401,E540-302038709-D245401,E540-302038709-D245401,E540-30203870963-D245401,"Installation, Hook Up & Pre-Commisioning","Installation, Hook Up & Pre-Commisioning",installation_hook_up_pre_commisioning,hybrid,tie_in_flag,0,0,0,0,95636.140000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020387-D245401|E540-302038708-D245401|E540-30203870821-D245401,eceef48b626badd7,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020387-D245401,E540-3020387-D245401,E540-302038708-D245401,E540-302038708-D245401,E540-30203870821-D245401,Material - Non LL,Material - Non LL,material_non_ll,hybrid,tie_in_flag,0,0,0,0,16830.790000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020387-D245401|E540-302038708-D245401|E540-30203870860-D245401,d45f2290158c52cb,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020387-D245401,E540-3020387-D245401,E540-302038708-D245401,E540-302038708-D245401,E540-30203870860-D245401,Material - LL,Material - LL,material_ll,hybrid,tie_in_flag,0,0,0,0,336048.410000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020387-D245401|E540-302038707-D245401|E540-30203870759-D245401,e8eade7a86f25d77,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020387-D245401,E540-3020387-D245401,E540-302038707-D245401,E540-302038707-D245401,E540-30203870759-D245401,Engineering,Engineering,engineering,hybrid,tie_in_flag,0,0,0,0,78101.650000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020384-D245401|E540-302038409-D245401|E540-30203840962-D245401,b1620117dd85d7b6,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020384-D245401,E540-3020384-D245401,E540-302038409-D245401,E540-302038409-D245401,E540-30203840962-D245401,Construction,Construction,construction,hybrid,pad_expansion_flag,0,0,0,0,231616.970000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020384-D245401|E540-302038407-D245401|E540-30203840759-D245401,041537d4c9eeb283,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020384-D245401,E540-3020384-D245401,E540-302038407-D245401,E540-302038407-D245401,E540-30203840759-D245401,Engineering,Engineering,engineering,hybrid,pad_expansion_flag,0,0,0,0,11270.830000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020383-D245401|E540-302038309-D245401|E540-30203830962-D245401,e3d7968923100012,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020383-D245401,E540-3020383-D245401,E540-302038309-D245401,E540-302038309-D245401,E540-30203830962-D245401,Construction,Construction,construction,hybrid,pad_expansion_flag,0,0,0,0,201768.030000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
SALAK|E540-30203-D245401|E540-3020383-D245401|E540-302038307-D245401|E540-30203830759-D245401,7e62be60683ba05c,SALAK,SLK 2025,SALAK_2025_2026,2025,E540-30101-D245401,,,none,low,wbs_lv5_master,E540,ROOT,E540-30-D245401,E540-30-D245401,E540-30203-D245401,E540-30203-D245401,E540-3020383-D245401,E540-3020383-D245401,E540-302038307-D245401,E540-302038307-D245401,E540-30203830759-D245401,Engineering,Engineering,engineering,hybrid,pad_expansion_flag,0,0,0,0,24412.750000,Data.Summary,20260327_WBS_Data.xlsx,SALAK_2025
