classification_key,field,wbs_lvl5,wbs_family_tag,reason_for_review,approval_status,observed_patterns,supporting_row_count,supporting_cost_total,proposed_classification,driver_family
DARAJAT|E530-30101-D235301|E530-3010106-D235301|E530-301010602-D235301|E530-30101060207-D235301,DARAJAT,E530-30101060207-D235301,"Mud, Chemical and Engineering Service",material_threshold,approved_auto,R1_DICT_WELL_TAG,1,637251.500000,well_tied,well_scope
DARAJAT|E530-30101-D235301|E530-3010156-D235301|E530-301015601-D235301|E530-30101560123-D235301,DARAJAT,E530-30101560123-D235301,Rig Move,material_threshold,approved_policy,R2_POLICY_P010,1,565608.620000,hybrid,interpad_move_count
DARAJAT|E530-30101-D235301|E530-3010156-D235301|E530-301015602-D235301|E530-30101560223-D235301,DARAJAT,E530-30101560223-D235301,Rig Move,material_threshold,approved_policy,R2_POLICY_P010,1,629396.870000,hybrid,interpad_move_count
DARAJAT|E530-30101-D235301|E530-3010169-D235301|E530-301016903-D235301|E530-30101690306-D235301,DARAJAT,E530-30101690306-D235301,Rig Mobilization,material_threshold,approved_policy,R2_POLICY_P012,1,2443898.790000,campaign_tied,campaign_logistics
DARAJAT|E530-30101-D235301|E530-3010169-D235301|E530-301016967-D235301|E530-30101696706-D235301,DARAJAT,E530-30101696706-D235301,Rig Mobilization,material_threshold,approved_policy,R2_POLICY_P012,1,1041966.780000,campaign_tied,campaign_logistics
DARAJAT|E530-30203-D235301|E530-3020386-D235301|E530-302038609-D235301|E530-30203860962-D235301,DARAJAT,E530-30203860962-D235301,Construction,material_threshold,approved_policy,R2_POLICY_P005,1,998367.290000,hybrid,pad_expansion_flag
SALAK|E540-30101-D245401|E540-3010101-D245401|E540-301010161-D245401|E540-30101016101-D245401,SALAK,E540-30101016101-D245401,Casing,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,575229.740000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010102-D245401|E540-301010202-D245401|E540-30101020209-D245401,SALAK,E540-30101020209-D245401,Equipment Rental,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,569931.800000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010102-D245401|E540-301010202-D245401|E540-30101020210-D245401,SALAK,E540-30101020210-D245401,Directional Drilling & Surveys,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,539568.660000,well_tied,well_scope
SALAK|E540-30101-D245401|E540-3010102-D245401|E540-301010202-D245401|E540-30101020245-D245401,SALAK,E540-30101020245-D245401,Drilling Rig O&M,material_threshold,approved_auto,R1_DICT_WELL_TAG,1,636198.740000,well_tied,well_scope
