classification_key,field,wbs_code_lv5,wbs_lvl5,wbs_family_tag,example_wbs_label,supporting_cost_total,estimation_class,driver_family,well_estimation_use,campaign_estimation_use,approval_status,approval_basis,approval_notes
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010201-D225301|E530-30101020160-D225301,DARAJAT,E530-30101020160-D225301,E530-30101020160-D225301,Consumables,Consumables 14-2,26370.440000,well_tied,well_scope,direct,rollup_from_wells,approved_auto,R1_DICT_WELL_TAG,Approved from explicit dictionary tag.
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020204-D225301,DARAJAT,E530-30101020204-D225301,E530-30101020204-D225301,Service Lines & Communication,Service Lines & Comm 14-2,679.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P052,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020205-D225301,DARAJAT,E530-30101020205-D225301,E530-30101020205-D225301,Contract Rig,Contract Rig 14-2,577880.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P035,curated_well_scope Material item above USD 500k; included in the material review queue.
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020207-D225301,DARAJAT,E530-30101020207-D225301,E530-30101020207-D225301,"Mud, Chemical and Engineering Service","Mud, Chemical and Eng Serv 14-2",345656.380000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P046,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020208-D225301,DARAJAT,E530-30101020208-D225301,E530-30101020208-D225301,"Bits, Reamer and Core heads","Bits, Reamer and Core heads 14-2",105762.500000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P032,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020209-D225301,DARAJAT,E530-30101020209-D225301,E530-30101020209-D225301,Equipment Rental,Equipment Rental 14-2,269816.430000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P039,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020210-D225301,DARAJAT,E530-30101020210-D225301,E530-30101020210-D225301,Directional Drilling & Surveys,Directional Drilling & Surveys 14-2,271966.420000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P037,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020211-D225301,DARAJAT,E530-30101020211-D225301,E530-30101020211-D225301,Casing Installation,Casing Installation 14-2,67979.200000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P033,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020212-D225301,DARAJAT,E530-30101020212-D225301,E530-30101020212-D225301,"Cement, Cementing & Pump Fees","Cement, Cementing & Pump Fees 14-2",476892.740000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P034,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020213-D225301,DARAJAT,E530-30101020213-D225301,E530-30101020213-D225301,Mud Logging Service,Mud Logging Service 14-2,67575.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P045,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020214-D225301,DARAJAT,E530-30101020214-D225301,E530-30101020214-D225301,Open Hole Electrical Logging Service,Open Hole Electrical Logging Services 14-2,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P048,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020215-D225301,DARAJAT,E530-30101020215-D225301,E530-30101020215-D225301,Supervision,Supervision 14-2,60329.680000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P053,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020216-D225301,DARAJAT,E530-30101020216-D225301,E530-30101020216-D225301,Land Transportation,Land Transportation 14-2,80498.530000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P042,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020217-D225301,DARAJAT,E530-30101020217-D225301,E530-30101020217-D225301,Other Transportation,Other Transportation 14-2,16329.480000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P049,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020220-D225301,DARAJAT,E530-30101020220-D225301,E530-30101020220-D225301,"Drilling Safety, Health & Environment","Drilling Safety, Health & Enviro 14-2",8354.050000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P038,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020224-D225301,DARAJAT,E530-30101020224-D225301,E530-30101020224-D225301,Explosive Handling & Permitting,Explosive Handling & Permitting 14-2,51925.490000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P041,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020247-D225301,DARAJAT,E530-30101020247-D225301,E530-30101020247-D225301,Coring,Coring 14-2,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P036,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020294-D225301,DARAJAT,E530-30101020294-D225301,E530-30101020294-D225301,NDT Inspection,NDT Inspection 14-2,32029.560000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P047,curated_well_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020295-D225301,DARAJAT,E530-30101020295-D225301,E530-30101020295-D225301,Rig Inspection,Rig Inspection 14-2,0.000000,well_tied,well_scope,direct,rollup_from_wells,approved_policy,R2_POLICY_P050,curated_well_scope
