classification_key,field,wbs_lvl4,wbs_lvl5,supporting_cost_total,suggested_tag,suggestion_basis
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050214-D225301,DARAJAT,E530-301010502-D225301,E530-30101050214-D225301,127992.000000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037403-D245401|E540-30203740360-D245401,SALAK,E540-302037403-D245401,E540-30203740360-D245401,127988.530000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037402-D245401|E540-30203740260-D245401,SALAK,E540-302037402-D245401,E540-30203740260-D245401,121598.700000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010208-D225301,DARAJAT,E530-301010102-D225301,E530-30101010208-D225301,120098.500000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010173-D225301|E530-301017311-D225301|E530-30101731160-D225301,DARAJAT,E530-301017311-D225301,E530-30101731160-D225301,119099.020000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037401-D245401|E540-30203740103-D245401,SALAK,E540-302037401-D245401,E540-30203740103-D245401,115937.220000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30129-D245401|E540-3012978-D245401|E540-301297862-D245401|E540-30129786227-D245401,SALAK,E540-301297862-D245401,E540-30129786227-D245401,113196.240000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012914-D225301|E530-301291463-D225301|E530-30129146321-D225301,DARAJAT,E530-301291463-D225301,E530-30129146321-D225301,111242.840000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020208-D225301,DARAJAT,E530-301010202-D225301,E530-30101020208-D225301,105762.500000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D235301|E530-3010161-D235301|E530-301016101-D235301|E530-30101610123-D235301,DARAJAT,E530-301016101-D235301,E530-30101610123-D235301,103749.540000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040215-D225301,DARAJAT,E530-301010402-D225301,E530-30101040215-D225301,92633.310000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050215-D225301,DARAJAT,E530-301010502-D225301,E530-30101050215-D225301,90519.150000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040216-D225301,DARAJAT,E530-301010402-D225301,E530-30101040216-D225301,89256.930000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040298-D225301,DARAJAT,E530-301010402-D225301,E530-30101040298-D225301,88305.130000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016101-D245401|E540-30101610123-D245401,SALAK,E540-301016101-D245401,E540-30101610123-D245401,88132.120000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010215-D225301,DARAJAT,E530-301010102-D225301,E530-30101010215-D225301,86100.330000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030215-D225301,DARAJAT,E530-301010302-D225301,E530-30101030215-D225301,85446.680000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D235301|E530-3012978-D235301|E530-301297862-D235301|E530-30129786227-D235301,DARAJAT,E530-301297862-D235301,E530-30129786227-D235301,82973.050000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020216-D225301,DARAJAT,E530-301010202-D225301,E530-30101020216-D225301,80498.530000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30101-D245401|E540-3010161-D245401|E540-301016103-D245401|E540-30101610323-D245401,SALAK,E540-301016103-D245401,E540-30101610323-D245401,79373.350000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030298-D225301,DARAJAT,E530-301010302-D225301,E530-30101030298-D225301,78769.120000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010105-D225301|E530-301010502-D225301|E530-30101050216-D225301,DARAJAT,E530-301010502-D225301,E530-30101050216-D225301,78091.960000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010102-D225301|E530-30101010216-D225301,DARAJAT,E530-301010102-D225301,E530-30101010216-D225301,74087.430000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30129-D225301|E530-3012977-D225301|E530-301297757-D225301|E530-30129775799-D225301,DARAJAT,E530-301297757-D225301,E530-30129775799-D225301,68243.850000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020211-D225301,DARAJAT,E530-301010202-D225301,E530-30101020211-D225301,67979.200000,campaign,default_for_shared_or_unknown_scope
SALAK|E540-30203-D245401|E540-3020374-D245401|E540-302037406-D245401|E540-30203740660-D245401,SALAK,E540-302037406-D245401,E540-30203740660-D245401,67824.480000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020213-D225301,DARAJAT,E530-301010202-D225301,E530-30101020213-D225301,67575.000000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010103-D225301|E530-301010302-D225301|E530-30101030216-D225301,DARAJAT,E530-301010302-D225301,E530-30101030216-D225301,66927.070000,campaign,default_for_shared_or_unknown_scope
DARAJAT|E530-30101-D225301|E530-3010104-D225301|E530-301010402-D225301|E530-30101040211-D225301,DARAJAT,E530-301010402-D225301,E530-30101040211-D225301,66375.810000,campaign,default_for_shared_or_unknown_scope
