classification_key,field,wbs_code_lv5,wbs_lvl2,wbs_lvl3,wbs_lvl4,wbs_lvl5,classification,classification_confidence,classification_rule_id,classification_rule_text,recommended_allocation_basis,include_for_modeling_initial,review_status,review_notes,supporting_row_count,supporting_cost_total
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016101-D225301,DARAJAT,E530-30101016101-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010161-D225301,E530-30101016101-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,532953.130000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016102-D225301,DARAJAT,E530-30101016102-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010161-D225301,E530-30101016102-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,51443.060000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016118-D225301,DARAJAT,E530-30101016118-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010161-D225301,E530-30101016118-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,337680.730000
DARAJAT|E530-30101-D225301|E530-3010101-D225301|E530-301010161-D225301|E530-30101016193-D225301,DARAJAT,E530-30101016193-D225301,E530-30101-D225301,E530-3010101-D225301,E530-301010161-D225301,E530-30101016193-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,19432.990000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010201-D225301|E530-30101020160-D225301,DARAJAT,E530-30101020160-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010201-D225301,E530-30101020160-D225301,well_tied,high,R1_TAG_WELL,Tag_Well_or_Pad=Well indicates direct well attribution.,direct_to_well,yes,approved_auto,,1,26370.440000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020204-D225301,DARAJAT,E530-30101020204-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020204-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,679.000000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020205-D225301,DARAJAT,E530-30101020205-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020205-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,577880.000000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020207-D225301,DARAJAT,E530-30101020207-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020207-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,345656.380000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020208-D225301,DARAJAT,E530-30101020208-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020208-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,105762.500000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020209-D225301,DARAJAT,E530-30101020209-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020209-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,269816.430000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020210-D225301,DARAJAT,E530-30101020210-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020210-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,271966.420000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020211-D225301,DARAJAT,E530-30101020211-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020211-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,67979.200000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020212-D225301,DARAJAT,E530-30101020212-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020212-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,476892.740000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020213-D225301,DARAJAT,E530-30101020213-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020213-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,67575.000000
DARAJAT|E530-30101-D225301|E530-3010102-D225301|E530-301010202-D225301|E530-30101020214-D225301,DARAJAT,E530-30101020214-D225301,E530-30101-D225301,E530-3010102-D225301,E530-301010202-D225301,E530-30101020214-D225301,hybrid,low,R5_FALLBACK_HYBRID,No deterministic well/pad tag or stable behavioral indicator; held as hybrid.,defer_driver_based_split,no,needs_review,Ambiguous usage; reviewer confirmation required.,1,0.000000
