well_alias,well_canonical,campaign_code,campaign_id,estimator_scope,include_for_estimator,include_for_well_training,source_sheet,note,well_sequence_in_campaign,well_order_label,well_order_basis,well_order_note
AWI 21-5,AWI 21-5,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
AWI 21-5,AWI 21-5,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
AWI 21-5,AWI 21-5,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,General.Camp.Data,,,,,
AWI 21-5,AWI 21-5,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Phase.Summary,,,,,
AWI 21-5,AWI 21-5,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Structured.Cost,,,,,
AWI 21-6,AWI 21-6,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,DashBoard.Tab.Template,,,,,
AWI 21-6,AWI 21-6,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Drill.Depth.Days,,,,,
AWI 21-6,AWI 21-6,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,General.Camp.Data,,,,,
AWI 21-6,AWI 21-6,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Phase.Summary,,,,,
AWI 21-6,AWI 21-6,E540-30101-D20001,SALAK_2021,in_scope,yes,yes,Structured.Cost,,,,,
AWI 21-7,AWI 21-7,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,DashBoard.Tab.Template,,2,well_2,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 21-7,AWI 21-7,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Drill.Depth.Days,,2,well_2,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 21-7,AWI 21-7,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,General.Camp.Data,,2,well_2,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 21-7,AWI 21-7,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Phase.Summary,,2,well_2,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 21-7,AWI 21-7,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,Structured.Cost,,2,well_2,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
AWI 21-8,AWI 21-8,E540-30101-D245401,SALAK_2025_2026,in_scope,yes,yes,DashBoard.Tab.Template,,1,well_1,user_confirmed_salak_2025_2026_left_to_right,AWI 9-10RD aliases to canonical AWI 9-10 for order metadata.
