field,campaign_canonical,campaign_code,campaign_raw,campaign_year,well_raw,well_canonical,level_2,level_3,level_4,level_5,pricing_basis,unit_price_basis,quantity_value,unit_price_usd,actual_cost_usd,actual_depth_ft,actual_days,npt_days,active_operational_days,data_quality_flag,source_workbook,source_sheet,source_row_key
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Material - LL,Casing,depth_rate,ft_md,6000.000000,148.780102,892680.610000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,674
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Material - LL,Casing Repair & Modif,depth_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,681
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Material - LL,Casing Repair & Modif,depth_rate,ft_md,6500.000000,0.000000,0.000000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,676
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Material - LL,Casing Repair & Modif,depth_rate,ft_md,6014.000000,35.295785,212268.850000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,677
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Material - LL,Casing Repair & Modif,depth_rate,ft_md,6000.000000,0.000000,0.000000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,678
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Material - LL,Casing Repair & Modif,depth_rate,ft_md,6500.000000,0.000000,0.000000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,679
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Material - LL,Casing Repair & Modif,depth_rate,ft_md,6000.000000,0.000000,0.000000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,680
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,687
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,6500.000000,0.000000,0.000000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,682
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,6014.000000,13.232767,79581.860000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,683
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,6000.000000,13.561520,81369.120000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,684
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,6500.000000,12.118105,78767.680000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,685
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Material - LL,Equipment Rental,depth_rate,ft_md,6000.000000,13.603035,81618.210000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,686
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,693
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,6500.000000,27.632885,179613.750000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,688
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,6014.000000,81.760755,491709.180000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,689
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,6000.000000,52.099728,312598.370000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,690
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,6500.000000,66.611851,432977.030000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,691
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Material - LL,Fuel & Lubricants,depth_rate,ft_md,6000.000000,93.489042,560934.250000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,692
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Material - Non LL,Consumables,depth_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,699
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Material - Non LL,Consumables,depth_rate,ft_md,6500.000000,2.291934,14897.570000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,694
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Material - Non LL,Consumables,depth_rate,ft_md,6014.000000,2.982616,17937.450000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,695
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Material - Non LL,Consumables,depth_rate,ft_md,6000.000000,3.543368,21260.210000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,696
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Material - Non LL,Consumables,depth_rate,ft_md,6500.000000,3.049357,19820.820000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,697
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Material - Non LL,Consumables,depth_rate,ft_md,6000.000000,2.001545,12009.270000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,698
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,API non API Machine Shop Service,active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,705
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,API non API Machine Shop Service,active_day_rate,active_operational_day,22.625000,2605.215912,58943.010000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,700
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,API non API Machine Shop Service,active_day_rate,active_operational_day,22.770833,2016.772948,45923.600000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,701
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,API non API Machine Shop Service,active_day_rate,active_operational_day,17.958333,2284.528302,41026.320000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,702
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,API non API Machine Shop Service,active_day_rate,active_operational_day,50.229167,1127.923742,56654.670000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,703
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,API non API Machine Shop Service,active_day_rate,active_operational_day,18.833333,2208.624995,41595.770000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,704
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,711
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,22.625000,10937.281768,247456.000000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,706
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,22.770833,5110.045820,116360.000000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,707
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,17.958333,14369.596554,258054.000000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,708
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,50.229167,5419.162137,272200.000000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,709
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,"Bits, Reamer and Core heads",active_day_rate,active_operational_day,18.833333,13999.009097,263648.000000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,710
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,717
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,22.625000,2229.600000,50444.700000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,712
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,22.770833,2971.863173,67671.800000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,713
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,17.958333,3729.937517,66983.460000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,714
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,50.229167,1782.395077,89528.220000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,715
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,Casing Installation,active_day_rate,active_operational_day,18.833333,2785.060934,52451.980000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,716
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,723
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,22.625000,20459.156243,462888.410000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,718
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,22.770833,20749.114887,472474.630000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,719
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,17.958333,29623.834796,531994.690000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,720
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,50.229167,14879.691316,747394.500000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,721
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,"Cement, Cementing & Pump Fees",active_day_rate,active_operational_day,18.833333,28789.549359,542203.170000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,722
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,729
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,22.625000,42912.808398,970902.290000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,724
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,22.770833,42913.067783,977166.300000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,725
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,17.958333,43603.860113,783052.640000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,726
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,50.229167,23382.831533,1174500.150000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,727
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,Contract Rig,active_day_rate,active_operational_day,18.833333,32791.110315,617565.900000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,728
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,Coring,active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,735
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,Coring,active_day_rate,active_operational_day,22.625000,0.000000,0.000000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,730
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,Coring,active_day_rate,active_operational_day,22.770833,0.000000,0.000000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,731
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,Coring,active_day_rate,active_operational_day,17.958333,0.000000,0.000000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,732
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,Coring,active_day_rate,active_operational_day,50.229167,0.000000,0.000000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,733
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,Coring,active_day_rate,active_operational_day,18.833333,0.000000,0.000000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,734
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,741
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,22.625000,12477.012597,282292.410000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,736
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,22.770833,24866.590080,566232.970000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,737
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,17.958333,15072.809932,270682.540000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,738
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,50.229167,8601.791067,432060.800000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,739
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,Directional Drilling & Surveys,active_day_rate,active_operational_day,18.833333,15018.133009,282841.500000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,740
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,747
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,22.625000,454.613039,10285.620000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,742
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,22.770833,548.348846,12486.360000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,743
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,17.958333,404.922328,7271.730000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,744
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,50.229167,412.364593,20712.730000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,745
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,"Drilling Safety, Health & Environment",active_day_rate,active_operational_day,18.833333,409.947087,7720.670000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,746
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,Equipment Rental,active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,753
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,Equipment Rental,active_day_rate,active_operational_day,22.625000,14065.765746,318237.950000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,748
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,Equipment Rental,active_day_rate,active_operational_day,22.770833,25563.041106,582091.740000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,749
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,Equipment Rental,active_day_rate,active_operational_day,17.958333,26484.841327,475623.600000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,750
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,Equipment Rental,active_day_rate,active_operational_day,50.229167,23233.818311,1167015.340000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,751
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,Equipment Rental,active_day_rate,active_operational_day,18.833333,35354.122927,665835.970000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,752
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,Explosive Handling & Permitting,active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,759
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-53,DRJ-53,Drilling Cost,Well Cost,Services,Explosive Handling & Permitting,active_day_rate,active_operational_day,22.625000,1103.751602,24972.380000,6500.000000,22.770833,0.145833,22.625000,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,754
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-54,DRJ-54,Drilling Cost,Well Cost,Services,Explosive Handling & Permitting,active_day_rate,active_operational_day,22.770833,462.927729,10541.250000,6014.000000,29.687500,6.916667,22.770833,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,755
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-55,DRJ-55,Drilling Cost,Well Cost,Services,Explosive Handling & Permitting,active_day_rate,active_operational_day,17.958333,1480.699239,26590.890000,6000.000000,18.229167,0.270833,17.958333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,756
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-56,DRJ-56,Drilling Cost,Well Cost,Services,Explosive Handling & Permitting,active_day_rate,active_operational_day,50.229167,398.466692,20014.650000,6500.000000,50.312500,0.083333,50.229167,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,757
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,DRJ-57,DRJ-57,Drilling Cost,Well Cost,Services,Explosive Handling & Permitting,active_day_rate,active_operational_day,18.833333,1542.186930,29044.520000,6000.000000,18.854167,0.020833,18.833333,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,758
DARAJAT,DARAJAT_2023_2024,E530-30101-D235301,DRJ - 2024,2024,General,,Drilling Cost,Well Cost,Services,Land Transportation,active_day_rate,campaign,1.000000,0.000000,0.000000,,,,,ok,20260422_Data for Dashboard.xlsx,Structured.Cost,765
